"Timestamp","What type of elevator project did Horizon Elevators complete for you?"," How responsive has Horizon Elevators been to your inquiries or concerns?","How well did Horizon Elevators keep you informed throughout the process (sales, installation, etc.)?","Compared to other elevator companies; did Horizon Elevators offer competitive pricing?"," How satisfied are you with the Annual Maintenance Contract (AMC) service provided by Horizon Elevators?","How professional and efficient was the installation process conducted by Horizon Elevators?","How satisfied are you with the overall quality, reliability, and safety of Horizon Elevators' installations (if applicable) or maintenance services?","Would you recommend Horizon Elevators to others looking for elevator installation or maintenance services?"
"2024/08/10 10:06:49 AM GMT+5:30","New elevator installation","Very responsive","Very well informed","Competitive","Very Satisfied","Very professional and efficient","Very satisfied","Definitely recommend"
"2024/08/10 10:07:16 AM GMT+5:30","Elevator modernization","Somewhat responsive","Somewhat informed","Competitive","Very Satisfied","Somewhat professional","Somewhat satisfied","Might recommend with reservations"
"2024/08/10 10:07:36 AM GMT+5:30","Elevator maintenance","Very responsive","Very well informed","Competitive","Very Satisfied","Very professional and efficient","Very satisfied","Definitely recommend"
"2024/08/10 10:08:01 AM GMT+5:30","Elevator modernization","Somewhat responsive","Somewhat informed","Non-competitive","Very Dissatisfied","Somewhat professional","Dissatisfied","Would not recommend"
"2024/08/10 10:08:19 AM GMT+5:30","New elevator installation","Unresponsive","Poor communication","Non-competitive","Very Dissatisfied","Unprofessional","Dissatisfied","Would not recommend"
"2024/08/10 10:08:42 AM GMT+5:30","Elevator maintenance","Very responsive","Very well informed","Competitive","Very Satisfied","Very professional and efficient","Very satisfied","Definitely recommend"
"2024/08/10 10:09:19 AM GMT+5:30","Elevator modernization","Unresponsive","Somewhat informed","Competitive","Neutral","Very professional and efficient","Very satisfied","Might recommend with reservations"
"2024/08/10 10:09:47 AM GMT+5:30","New elevator installation","Unresponsive","Poor communication","Non-competitive","Very Dissatisfied","Unprofessional","Dissatisfied","Would not recommend"
"2024/08/10 10:10:08 AM GMT+5:30","New elevator installation","Very responsive","Very well informed","Competitive","Very Satisfied","Very professional and efficient","Very satisfied","Definitely recommend"
"2024/08/10 10:10:51 AM GMT+5:30","Elevator maintenance","Very responsive","Somewhat informed","Competitive","Very Satisfied","Very professional and efficient","Somewhat satisfied","Definitely recommend"
"2024/08/10 10:11:14 AM GMT+5:30","Elevator modernization","Very responsive","Very well informed","Competitive","Very Satisfied","Very professional and efficient","Very satisfied","Definitely recommend"
"2024/08/10 10:11:58 AM GMT+5:30","Elevator maintenance","Somewhat responsive","Poor communication","Non-competitive","Very Dissatisfied","Unprofessional","Dissatisfied","Would not recommend"